,N,Commands,G,M,X,Y,Z,I,J,F,delta_xy,delta_X,delta_Y,delta_Z,delta_S,F_val,D_W,Werkzeug,Bearbeitung,S,D,T=,TurnOp,Toolchange,TURN,GCode,ENERGY|x,ENERGY|y,ENERGY|z,ENERGY|S,ENERGY|T
0,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,FLOOR_WALL_IPW,0,,,0,0,,"MSG(""FLOOR_WALL_IPW , Tool : T_A_SK40_SF_DM16_A"")",0.0,0.0,0.0,0.0,0.0
1,N32,G0, G0  ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,D0,,0,0,,,0.0,0.0,0.0,0.0,0.0
2,N32,G0, G0  ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,D0,,0,0,,,0.0,0.0,0.0,0.0,0.0
3,N34,G0, G0  ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,,0.0,0.0,0.0,0.0,0.0
4,N34,G0, G0  ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,,0.0,0.0,0.0,0.0,0.0
5,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,"T=""3D_TASTER""",0,1,,,0.0,0.0,0.0,0.0,0.0
6,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
7,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
8,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
9,N021,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,_AUTOGEAR_2=($P_SAUTOGEAR[1] AND ($AC_SGEAR[1]>=2)),0.0,0.0,0.0,0.0,0.0
10,N390,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF NOT M_ENABLE_TOOLCHANGE AND NOT _SIM AND NOT $P_ISTEST AND NOT TESTRACK AND _POS GOTOF FEHLER4,0.0,0.0,0.0,0.0,0.10860392599999999
11,N394,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.476093968
12,N396,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,_MODE=STEP_OLD FAST=0 _TEST=_SIM OR $P_SEARCH OR $P_ISTEST OR TESTRACK,0.0,0.0,0.0,0.0,0.4656743999999999
13,N396,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,_MODE=STEP_OLD FAST=0 _TEST=_SIM OR $P_SEARCH OR $P_ISTEST OR TESTRACK,0.0,0.0,0.0,0.0,0.230432688
14,N464,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,    IF($AA_IM[_AX4]<$MN_USER_DATA_INT[83]-0.5)OR($AA_IM[_AX4]>$MN_USER_DATA_INT[84]+0.5),0.0,0.0,0.0,0.0,1.182620628
15,N480,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,GETSELT(T_PR),0.0,0.0,0.0,0.0,0.32300651399999997
16,N542,M27 M28,   ,M27 M28 ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,,0.0,0.0,0.0,0.0,3.274147914
17,N562,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF NOT M_ENABLE_TOOLCHANGE AND NOT _SIM AND NOT $P_ISTEST AND NOT TESTRACK AND NOT $P_SEARCH GOTOF FEHLER,0.0,0.0,0.0,0.0,2.485066244
18,N572,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,  IF ($AA_IM[_AX4]<$MN_USER_DATA_INT[83]-0.5) AND ($MA_POS_LIMIT_MINUS[AX4]>-360) GOTOF FEHLER3,0.0,0.0,0.0,0.0,3.000834708
19,N574,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,  IF ($AA_IM[_AX4]>$MN_USER_DATA_INT[84]+0.5) AND ($MA_POS_LIMIT_PLUS[AX4]<360) GOTOF FEHLER3,0.0,0.0,0.0,0.0,3.4777301819999997
20,N626,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,3.84281571
21,N638,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,4.615867276
22,N640,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,_H_EIN=($AC_MARKER[3]==9999),0.0,0.0,0.0,0.0,4.839487168
23,N796,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,  STEP=1,0.0,0.0,0.0,0.0,1.5076308980000002
24,N838,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,  FAST=1,0.0,0.0,0.0,0.0,1.6134295600000002
25,N841,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,6.110674094
26,N864,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,    IF SPINDLE_GEAR AND NOT SPINDLE_REF,0.0,0.0,0.0,0.0,6.485778436
27,N912,G90, G90  ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,D0,,0,0,,SPOS=0 POS[X]=_X FA[X]=RED_RAPID_SPEED POS[Y]=_Y FA[Y]=RED_RAPID_SPEED POS[Z]=_Z FA[Z,0.0,0.0,0.0,0.0,7.052843224
28,N912,G90, G90  ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,D0,,0,0,,SPOS=0 POS[X]=_X FA[X]=RED_RAPID_SPEED POS[Y]=_Y FA[Y]=RED_RAPID_SPEED POS[Z]=_Z FA[Z,886.8865241340003,187.480367382,-14.596011804000002,19.879711104000013,339.041422808
29,N1000,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,7.151829090000001
30,N1020,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,  IF FUSE_PERIPHERAL,0.0,0.0,0.0,0.0,7.714084845999999
31,N1026,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,  IF ($MN_USER_DATA_HEX[92] B_AND 1) AND PICKUP AND NOT T_AKT AND CLAMPED AND WEISS_CLAMPED AND NOT CLAM,0.0,0.0,0.0,0.0,7.325354919999999
32,N1040,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF FAST GOTOF _FAST,0.0,0.0,0.0,0.0,7.311729337999999
33,N4020,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,   SETPIECE(0),0.0,0.0,0.0,0.0,8.582916264
34,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,7.422737778000001
35,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,8.069552309999999
36,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,7.037614624000001
37,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,7.463213781999999
38,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,7.4495881960000006
39,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,7.4744348500000015
40,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,7.567008676000001
41,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,7.860760256000002
42,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,7.1979156280000005
43,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,7.5585928739999995
44,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,6.116284632
45,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,6.304237552000001
46,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,4.577795794
47,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,4.634702644
48,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,4.572986761999999
49,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,3.3294517580000003
50,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,3.7991336860000002
51,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,3.2180425619999995
52,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,2.91747819
53,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,2.6072957580000002
54,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,2.174883808
55,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,1.884739002
56,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,1.7641125000000002
57,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,1.23471845
58,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.994667704
59,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.7437966360000001
60,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.48571202799999996
61,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.302568138
62,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.17232357199999998
63,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.068528674
64,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.013625582000000002
65,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.0
66,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.0
67,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.0
68,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.0
69,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.0
70,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.0
71,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.0
72,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.0
73,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.0
74,N4023,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF _PREPARE_ACTIVE GOTOB MM99,0.0,0.0,0.0,0.0,0.0
75,N4024,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
76,N4026,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STEP=2,0.0,0.0,0.0,0.0,0.0
77,N4034,G0 M106, G0  ,M106  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,,0.0,0.0,0.0,0.0,0.0
78,N4040,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,  SETPIECE(1),0.0,0.0,0.0,0.0,0.0
79,N4116,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
80,N4120,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,  IF AUTOMODE,0.0,0.0,0.0,0.0,0.0
81,N4148,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,D1,,0,0,,,0.0,0.0,0.0,0.0,0.0
82,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
83,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
84,N4156,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF NOT ACTIVE_M84 AND NOT _TEST GOTOB MMM9,0.0,0.0,0.0,0.0,0.0
85,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
86,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
87,N4156,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF NOT ACTIVE_M84 AND NOT _TEST GOTOB MMM9,0.0,0.0,0.0,0.0,0.0
88,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
89,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
90,N4156,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF NOT ACTIVE_M84 AND NOT _TEST GOTOB MMM9,0.0,0.0,0.0,0.0,0.0
91,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
92,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
93,N4156,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF NOT ACTIVE_M84 AND NOT _TEST GOTOB MMM9,0.0,0.0,0.0,0.0,0.0
94,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
95,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
96,N4156,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,IF NOT ACTIVE_M84 AND NOT _TEST GOTOB MMM9,0.0,0.0,0.0,0.0,0.0
97,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
98,,MSG,   ,  ,0.0,0.0,610.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,16.0,T_A_SK40_SF_DM16_A,STANDARD,0,,,0,0,,STOPRE,0.0,0.0,0.0,0.0,0.0
